District,Municipality,Administrative Unit,PS,PD,LSI,Other Parties,Invalid Ballots,Eligible Voters
Berat,Berat,Berat,11312,7214,1704,551,1159,52154
Berat,Berat,Otllak,2673,1726,517,121,347,12029
Berat,Berat,Roshnik,830,311,46,38,114,2857
Berat,Berat,Sinje,1041,516,206,47,165,3908
Berat,Berat,Velabisht,2446,1100,396,129,413,9397
Berat,Kucove,Kozare,1441,1198,219,56,222,6465
Berat,Kucove,Kucove,4728,2517,736,164,449,24378
Berat,Kucove,Lumas,1145,641,172,41,118,5372
Berat,Kucove,Perondi,2085,1002,476,100,263,8688
Berat,Polican,Polican,1720,344,552,39,151,6179
Berat,Polican,Terpan,449,107,133,11,46,1692
Berat,Polican,Vertop,1702,594,179,38,160,5309
Berat,Skrapar,Bogove,201,119,140,9,39,1237
Berat,Skrapar,Cepan,157,45,164,10,19,758
Berat,Skrapar,Corovode,1281,282,843,46,152,4701
Berat,Skrapar,Gjerbes,186,65,79,4,25,814
Berat,Skrapar,Leshnje,172,20,93,3,11,516
Berat,Skrapar,Potom,358,26,95,6,18,793
Berat,Skrapar,Qender-Skrapar,780,165,481,45,110,3096
Berat,Skrapar,Vendresh,262,38,183,4,29,939
Berat,Skrapar,Zhepe,150,16,96,6,24,720
Berat,Ura Vajgurore,Cukalat,703,634,63,49,139,3237
Berat,Ura Vajgurore,Kutalli,2478,1738,345,138,441,10339
Berat,Ura Vajgurore,Poshnje,1812,1446,251,81,322,8220
Berat,Ura Vajgurore,Ura Vajgurore,2243,1174,225,114,356,9321
Diber,Bulqize,Bulqize,1861,1439,768,283,476,9158
Diber,Bulqize,Fushe Bulqize,605,528,172,233,193,2992
Diber,Bulqize,Gjorice,839,756,99,39,160,3946
Diber,Bulqize,Martanesh,420,205,65,26,63,1660
Diber,Bulqize,Ostren,604,572,39,16,89,2371
Diber,Bulqize,Shupenze,1154,936,209,50,187,5019
Diber,Bulqize,Trebisht,261,123,9,4,13,772
Diber,Bulqize,Zerqan,679,819,157,76,181,3667
Diber,Diber,Arras,508,629,57,20,55,2539
Diber,Diber,Fushe Cidhen,307,655,122,29,85,2590
Diber,Diber,Fushe Muhur,448,484,134,21,76,2427
Diber,Diber,Kala e Dodes,198,357,11,9,16,1695
Diber,Diber,Kastriot,1028,1242,383,53,225,5466
Diber,Diber,Lure,158,282,10,3,37,898
Diber,Diber,Luzni,390,532,54,18,91,2046
Diber,Diber,Maqellare,2185,2103,440,84,297,10269
Diber,Diber,Melan,682,822,86,34,105,3166
Diber,Diber,Peshkopi,3154,3814,664,137,495,14539
Diber,Diber,Selishte,223,284,40,7,20,1174
Diber,Diber,Sllove,520,525,46,28,58,2109
Diber,Diber,Tomin,1293,1700,264,54,239,6294
Diber,Diber,Zall Dardhe,195,178,16,6,8,786
Diber,Diber,Zall Rec,170,140,6,9,7,624
Diber,Klos,Gurre,654,851,45,33,99,2902
Diber,Klos,Klos (DI),1889,1771,81,229,368,7911
Diber,Klos,Suc,569,623,16,44,100,2571
Diber,Klos,Xiber,590,493,29,35,77,2218
Diber,Mat,Baz,446,605,78,39,58,2327
Diber,Mat,Burrel,3478,2438,195,288,323,13354
Diber,Mat,Derjan,217,226,15,20,41,992
Diber,Mat,Komsi,922,906,36,57,149,3933
Diber,Mat,Lis,962,706,17,44,143,3606
Diber,Mat,Macukull,258,350,2,9,40,1284
Diber,Mat,Rukaj,499,649,35,34,81,2517
Diber,Mat,Ulez,376,277,45,19,31,1403
Durres,Durres,Ishem,1350,1029,233,41,146,6878
Durres,Durres,Katund I Ri,1875,2878,177,79,276,12392
Durres,Durres,Manez,1976,1640,237,40,221,9218
Durres,Durres,Rrashbull,5946,4846,976,250,602,26614
Durres,Durres,Sukth,3650,3791,704,167,594,22209
Durres,Durres,Durres,37512,29322,3828,1795,3268,181322
Durres,Kruje,Bubq,1672,1227,254,34,165,6875
Durres,Kruje,Cudhi,739,494,61,19,68,2164
Durres,Kruje,Fushe Kruje,5354,4463,831,226,567,20713
Durres,Kruje,Koder Thumane,3298,2506,230,77,326,12766
Durres,Kruje,Kruje,2559,3382,976,123,402,12941
Durres,Kruje,Nikel,3008,2004,132,89,311,8278
Durres,Shijak,Gjepalaj,987,835,282,24,93,4653
Durres,Shijak,Maminas,1490,707,65,88,179,6039
Durres,Shijak,Shijak,2689,1529,232,49,226,10768
Durres,Shijak,Xhafzotaj,2819,2778,262,127,364,14900
Elbasan,Belsh,Belsh,2480,1912,86,115,305,11638
Elbasan,Belsh,Fierze (EL),608,517,20,26,83,3148
Elbasan,Belsh,Grekan,950,483,6,59,127,3909
Elbasan,Belsh,Kajan,1128,764,24,34,137,5085
Elbasan,Belsh,Rrase,386,270,9,13,40,1833
Elbasan,Cerrik,Cerrik,2693,1213,187,113,228,11940
Elbasan,Cerrik,Gostime,2165,1192,482,82,235,10219
