"District","Municipality","Administrative Unit","MappingID"
"Berat","Berat","Berat","ALB.1.1.1_1"
"Berat","Berat","Otllak","ALB.1.1.5_1"
"Berat","Berat","Roshnik","ALB.1.1.7_1"
"Berat","Berat","Sinje","ALB.1.1.8_1"
"Berat","Berat","Velabisht","ALB.1.1.11_1"
"Berat","Kucove","Kozare","ALB.1.2.1_1"
"Berat","Kucove","Kucove","ALB.1.2.2_1"
"Berat","Kucove","Lumas","ALB.1.1.4_1"
"Berat","Kucove","Perondi","ALB.1.2.3_1"
"Berat","Polican","Polican","ALB.1.3.6_1"
"Berat","Polican","Terpan","ALB.1.1.9_1"
"Berat","Polican","Vertop","ALB.1.1.12_1"
"Berat","Skrapar","Bogove","ALB.1.3.1_1"
"Berat","Skrapar","Cepan","ALB.1.3.2_1"
"Berat","Skrapar","corovode","ALB.1.3.3_1"
"Berat","Skrapar","Gjerbes","ALB.1.3.4_1"
"Berat","Skrapar","Leshnje","ALB.1.3.5_1"
"Berat","Skrapar","Potom","ALB.1.3.7_1"
"Berat","Skrapar","Qender - Skrapar","ALB.1.3.8_1"
"Berat","Skrapar","Vendreshe","ALB.1.3.9_1"
"Berat","Skrapar","Zhepe","ALB.1.3.10_1"
"Berat","Ura Vajgurore","Cukalat","ALB.1.1.2_1"
"Berat","Ura Vajgurore","Kutalli","ALB.1.1.3_1"
"Berat","Ura Vajgurore","Poshnje","ALB.1.1.6_1"
"Berat","Ura Vajgurore","Ura Vajgurore","ALB.1.1.10_1"
"Diber","Bulqize","Bulqize","ALB.2.1.1_1"
"Diber","Bulqize","Fushe Bulqize","ALB.2.1.2_1"
"Diber","Bulqize","Gjorice","ALB.2.1.3_1"
"Diber","Bulqize","Martanesh","ALB.2.3.9_1"
"Diber","Bulqize","Ostren","ALB.2.1.4_1"
"Diber","Bulqize","Shupenze","ALB.2.1.5_1"
"Diber","Bulqize","Trebisht","ALB.2.1.7_1"
"Diber","Bulqize","Zerqan","ALB.2.1.8_1"
"Diber","Diber","Arras","ALB.2.2.1_1"
"Diber","Diber","Fushe Cidhen","ALB.2.2.2_1"
"Diber","Diber","Fushe Muhur","ALB.2.2.9_1"
"Diber","Diber","Kala e Dodes","ALB.2.2.3_1"
"Diber","Diber","Kastriot","ALB.2.2.4_1"
"Diber","Diber","Lure","ALB.2.2.5_1"
"Diber","Diber","Luzni","ALB.2.2.6_1"
"Diber","Diber","Maqellare","ALB.2.2.7_1"
"Diber","Diber","Melan","ALB.2.2.8_1"
"Diber","Diber","Peshkopi","ALB.2.2.10_1"
"Diber","Diber","Selishte","ALB.2.2.12_1"
"Diber","Diber","Sllove","ALB.2.2.13_1"
"Diber","Diber","Tomin","ALB.2.2.11_1"
"Diber","Diber","Zall Dardhe","ALB.2.2.14_1"
"Diber","Diber","Zall Rec","ALB.2.2.15_1"
"Diber","Klos","Gurre","ALB.2.3.4_1"
"Diber","Klos","Klos (DI)","ALB.2.3.5_1"
"Diber","Klos","Suc","ALB.2.3.11_1"
"Diber","Klos","Xiber","ALB.2.3.13_1"
"Diber","Mat","Baz","ALB.2.3.1_1"
"Diber","Mat","Burrel","ALB.2.3.2_1"
