"PollingStation","No","Party","Votes"
"0001","1","PSD","75"
"0001","2","PBK","3"
"0001","3","PLDSH","2"
"0001","4","BD","36"
"0001","5","ABEOK","1"
"0001","6","LSI","6"
"0001","7","NTH","2"
"0001","8","LRE","0"
"0001","9","PDAN","120"
"0001","10","ADR","0"
"0001","11","LN","0"
"0001","12","PS","113"
"0001","13","Other","0"
"0002","1","PSD","28"
"0002","2","PBK","4"
"0002","3","PLDSH","0"
"0002","4","BD","4"
"0002","5","ABEOK","0"
"0002","6","LSI","2"
"0002","7","NTH","0"
"0002","8","LRE","0"
"0002","9","PDAN","49"
"0002","10","ADR","0"
"0002","11","LN","0"
"0002","12","PS","116"
"0002","13","Other","0"
"00021","1","PSD","21"
"00021","2","PBK","0"
"00021","3","PLDSH","0"
"00021","4","BD","1"
"00021","5","ABEOK","0"
"00021","6","LSI","8"
"00021","7","NTH","0"
"00021","8","LRE","1"
"00021","9","PDAN","39"
"00021","10","ADR","0"
"00021","11","LN","1"
"00021","12","PS","60"
"00021","13","Other","1"
"0003","1","PSD","41"
"0003","2","PBK","4"
"0003","3","PLDSH","4"
"0003","4","BD","1"
"0003","5","ABEOK","0"
"0003","6","LSI","14"
"0003","7","NTH","0"
"0003","8","LRE","0"
"0003","9","PDAN","79"
"0003","10","ADR","1"
"0003","11","LN","0"
"0003","12","PS","99"
"0003","13","Other","0"
"0004","1","PSD","30"
"0004","2","PBK","1"
"0004","3","PLDSH","0"
"0004","4","BD","6"
"0004","5","ABEOK","0"
"0004","6","LSI","7"
"0004","7","NTH","2"
"0004","8","LRE","0"
"0004","9","PDAN","99"
"0004","10","ADR","0"
"0004","11","LN","0"
"0004","12","PS","128"
"0004","13","Other","0"
"0005","1","PSD","14"
"0005","2","PBK","0"
"0005","3","PLDSH","1"
"0005","4","BD","0"
"0005","5","ABEOK","0"
"0005","6","LSI","11"
"0005","7","NTH","0"
"0005","8","LRE","0"
"0005","9","PDAN","91"
"0005","10","ADR","0"
"0005","11","LN","0"
"0005","12","PS","46"
"0005","13","Other","0"
"0006","1","PSD","19"
"0006","2","PBK","0"
"0006","3","PLDSH","0"
"0006","4","BD","2"
"0006","5","ABEOK","0"
"0006","6","LSI","18"
"0006","7","NTH","0"
"0006","8","LRE","0"
"0006","9","PDAN","80"
"0006","10","ADR","2"
"0006","11","LN","1"
"0006","12","PS","47"
"0006","13","Other","0"
"0007","1","PSD","17"
"0007","2","PBK","0"
"0007","3","PLDSH","0"
"0007","4","BD","0"
"0007","5","ABEOK","0"
"0007","6","LSI","3"
"0007","7","NTH","0"
"0007","8","LRE","0"
"0007","9","PDAN","119"
"0007","10","ADR","0"
"0007","11","LN","0"
"0007","12","PS","72"
"0007","13","Other","0"
"0008","1","PSD","40"
"0008","2","PBK","0"
"0008","3","PLDSH","0"
"0008","4","BD","4"
"0008","5","ABEOK","0"
"0008","6","LSI","23"
"0008","7","NTH","0"
"0008","8","LRE","0"
"0008","9","PDAN","102"
"0008","10","ADR","0"
"0008","11","LN","4"
"0008","12","PS","184"
"0008","13","Other","0"
"0009","1","PSD","34"
"0009","2","PBK","0"
"0009","3","PLDSH","0"
"0009","4","BD","1"
"0009","5","ABEOK","0"
"0009","6","LSI","20"
"0009","7","NTH","0"
"0009","8","LRE","0"
"0009","9","PDAN","64"
"0009","10","ADR","1"
"0009","11","LN","0"
"0009","12","PS","70"
"0009","13","Other","0"
"0012","1","PSD","49"
"0012","2","PBK","0"
"0012","3","PLDSH","0"
"0012","4","BD","0"
"0012","5","ABEOK","0"
"0012","6","LSI","5"
"0012","7","NTH","0"
"0012","8","LRE","0"
"0012","9","PDAN","108"
"0012","10","ADR","0"
"0012","11","LN","1"
"0012","12","PS","60"
"0012","13","Other","0"
"0013","1","PSD","22"
"0013","2","PBK","0"
"0013","3","PLDSH","1"
"0013","4","BD","1"
"0013","5","ABEOK","0"
"0013","6","LSI","11"
"0013","7","NTH","0"
"0013","8","LRE","1"
"0013","9","PDAN","110"
"0013","10","ADR","0"
"0013","11","LN","1"
"0013","12","PS","145"
"0013","13","Other","0"
"0016","1","PSD","45"
"0016","2","PBK","0"
"0016","3","PLDSH","0"
"0016","4","BD","4"
"0016","5","ABEOK","1"
"0016","6","LSI","9"
"0016","7","NTH","0"
"0016","8","LRE","0"
"0016","9","PDAN","61"
"0016","10","ADR","1"
"0016","11","LN","1"
"0016","12","PS","122"
"0016","13","Other","0"
"0017","1","PSD","99"
"0017","2","PBK","0"
"0017","3","PLDSH","1"
"0017","4","BD","7"
"0017","5","ABEOK","0"
"0017","6","LSI","11"
"0017","7","NTH","0"
"0017","8","LRE","1"
"0017","9","PDAN","116"
"0017","10","ADR","0"
"0017","11","LN","1"
"0017","12","PS","110"
"0017","13","Other","0"
"0020","1","PSD","99"
"0020","2","PBK","0"
"0020","3","PLDSH","1"
"0020","4","BD","0"
"0020","5","ABEOK","0"
"0020","6","LSI","0"
"0020","7","NTH","0"
"0020","8","LRE","2"
"0020","9","PDAN","91"
"0020","10","ADR","0"
"0020","11","LN","1"
"0020","12","PS","113"
"0020","13","Other","0"
"0023","1","PSD","5"
"0023","2","PBK","0"
"0023","3","PLDSH","0"
"0023","4","BD","0"
"0023","5","ABEOK","0"
"0023","6","LSI","4"
"0023","7","NTH","0"
"0023","8","LRE","2"
"0023","9","PDAN","46"
"0023","10","ADR","0"
"0023","11","LN","0"
"0023","12","PS","61"
"0023","13","Other","0"
"0024","1","PSD","15"
"0024","2","PBK","2"
"0024","3","PLDSH","0"
"0024","4","BD","0"
"0024","5","ABEOK","0"
"0024","6","LSI","1"
"0024","7","NTH","0"
"0024","8","LRE","0"
"0024","9","PDAN","85"
"0024","10","ADR","0"
"0024","11","LN","0"
"0024","12","PS","90"
"0024","13","Other","1"
"0025","1","PSD","42"
"0025","2","PBK","1"
"0025","3","PLDSH","0"
"0025","4","BD","0"
"0025","5","ABEOK","0"
"0025","6","LSI","10"
"0025","7","NTH","2"
"0025","8","LRE","0"
"0025","9","PDAN","135"
"0025","10","ADR","0"
"0025","11","LN","1"
"0025","12","PS","108"
"0025","13","Other","1"
"0026","1","PSD","16"
"0026","2","PBK","0"
"0026","3","PLDSH","0"
"0026","4","BD","0"
"0026","5","ABEOK","0"
"0026","6","LSI","8"
"0026","7","NTH","0"
"0026","8","LRE","1"
"0026","9","PDAN","81"
"0026","10","ADR","0"
"0026","11","LN","2"
"0026","12","PS","109"
"0026","13","Other","0"
"0027","1","PSD","5"
"0027","2","PBK","0"
"0027","3","PLDSH","1"
"0027","4","BD","0"
"0027","5","ABEOK","0"
"0027","6","LSI","11"
"0027","7","NTH","0"
"0027","8","LRE","0"
"0027","9","PDAN","136"
"0027","10","ADR","1"
"0027","11","LN","14"
"0027","12","PS","51"
"0027","13","Other","0"
"0028","1","PSD","6"
"0028","2","PBK","0"
"0028","3","PLDSH","0"
"0028","4","BD","6"
"0028","5","ABEOK","0"
"0028","6","LSI","4"
"0028","7","NTH","0"
"0028","8","LRE","0"
"0028","9","PDAN","65"
"0028","10","ADR","0"
"0028","11","LN","0"
"0028","12","PS","39"
"0028","13","Other","0"
"0029","1","PSD","15"
"0029","2","PBK","2"
"0029","3","PLDSH","0"
"0029","4","BD","0"
"0029","5","ABEOK","1"
"0029","6","LSI","1"
"0029","7","NTH","1"
"0029","8","LRE","0"
"0029","9","PDAN","153"
"0029","10","ADR","0"
"0029","11","LN","0"
"0029","12","PS","80"
"0029","13","Other","0"
"0030","1","PSD","12"
"0030","2","PBK","1"
"0030","3","PLDSH","1"
"0030","4","BD","2"
"0030","5","ABEOK","0"
"0030","6","LSI","0"
"0030","7","NTH","0"
"0030","8","LRE","1"
"0030","9","PDAN","70"
"0030","10","ADR","1"
"0030","11","LN","3"
"0030","12","PS","105"
"0030","13","Other","0"
"00301","1","PSD","6"
"00301","2","PBK","0"
"00301","3","PLDSH","0"
"00301","4","BD","0"
"00301","5","ABEOK","0"
"00301","6","LSI","1"
"00301","7","NTH","0"
"00301","8","LRE","0"
"00301","9","PDAN","70"
"00301","10","ADR","2"
"00301","11","LN","9"
"00301","12","PS","74"
"00301","13","Other","0"
"0031","1","PSD","12"
"0031","2","PBK","0"
"0031","3","PLDSH","0"
"0031","4","BD","15"
"0031","5","ABEOK","0"
"0031","6","LSI","5"
"0031","7","NTH","0"
"0031","8","LRE","0"
"0031","9","PDAN","136"
"0031","10","ADR","1"
"0031","11","LN","1"
"0031","12","PS","96"
"0031","13","Other","0"
"00311","1","PSD","25"
"00311","2","PBK","2"
"00311","3","PLDSH","0"
"00311","4","BD","1"
"00311","5","ABEOK","0"
"00311","6","LSI","1"
"00311","7","NTH","0"
"00311","8","LRE","0"
"00311","9","PDAN","86"
"00311","10","ADR","0"
"00311","11","LN","2"
"00311","12","PS","67"
"00311","13","Other","0"
"0032","1","PSD","5"
"0032","2","PBK","0"
"0032","3","PLDSH","0"
"0032","4","BD","4"
"0032","5","ABEOK","0"
"0032","6","LSI","3"
"0032","7","NTH","0"
"0032","8","LRE","0"
"0032","9","PDAN","147"
"0032","10","ADR","1"
"0032","11","LN","0"
"0032","12","PS","40"
"0032","13","Other","0"
"0033","1","PSD","6"
"0033","2","PBK","1"
"0033","3","PLDSH","0"
"0033","4","BD","0"
"0033","5","ABEOK","0"
"0033","6","LSI","10"
"0033","7","NTH","0"
"0033","8","LRE","0"
"0033","9","PDAN","82"
"0033","10","ADR","0"
"0033","11","LN","0"
"0033","12","PS","86"
"0033","13","Other","0"
"0034","1","PSD","0"
"0034","2","PBK","0"
"0034","3","PLDSH","0"
"0034","4","BD","0"
"0034","5","ABEOK","0"
"0034","6","LSI","11"
"0034","7","NTH","0"
"0034","8","LRE","0"
"0034","9","PDAN","62"
"0034","10","ADR","0"
"0034","11","LN","1"
"0034","12","PS","45"
"0034","13","Other","1"
"0035","1","PSD","7"
"0035","2","PBK","1"
"0035","3","PLDSH","0"
"0035","4","BD","0"
"0035","5","ABEOK","0"
"0035","6","LSI","1"
"0035","7","NTH","0"
"0035","8","LRE","0"
"0035","9","PDAN","27"
"0035","10","ADR","1"
"0035","11","LN","3"
"0035","12","PS","127"
"0035","13","Other","0"
"0036","1","PSD","13"
"0036","2","PBK","0"
"0036","3","PLDSH","0"
"0036","4","BD","1"
"0036","5","ABEOK","0"
"0036","6","LSI","3"
"0036","7","NTH","4"
"0036","8","LRE","0"
"0036","9","PDAN","120"
"0036","10","ADR","0"
"0036","11","LN","0"
"0036","12","PS","60"
"0036","13","Other","0"
"00361","1","PSD","6"
"00361","2","PBK","0"
"00361","3","PLDSH","0"
"00361","4","BD","1"
"00361","5","ABEOK","0"
"00361","6","LSI","0"
"00361","7","NTH","0"
"00361","8","LRE","0"
"00361","9","PDAN","66"
"00361","10","ADR","0"
"00361","11","LN","0"
"00361","12","PS","70"
"00361","13","Other","0"
"0037","1","PSD","13"
"0037","2","PBK","0"
"0037","3","PLDSH","2"
"0037","4","BD","2"
"0037","5","ABEOK","0"
"0037","6","LSI","2"
"0037","7","NTH","0"
"0037","8","LRE","0"
"0037","9","PDAN","166"
"0037","10","ADR","0"
"0037","11","LN","3"
"0037","12","PS","80"
"0037","13","Other","0"
"00371","1","PSD","1"
"00371","2","PBK","0"
"00371","3","PLDSH","0"
"00371","4","BD","0"
"00371","5","ABEOK","0"
"00371","6","LSI","2"
"00371","7","NTH","0"
"00371","8","LRE","0"
"00371","9","PDAN","66"
