GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,GID_3,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3
ALB,Albania,ALB.1_1,Berat,NA,ALB.1.1_1,Beratit,NA,ALB.1.1.1_1,Berat,NA,NA,Bashkia,Bashkia,NA,AL.BE.BR.BE
ALB,Albania,ALB.1_1,Berat,NA,ALB.1.1_1,Beratit,NA,ALB.1.1.2_1,Cukalat,Cukalt,NA,Commune,Commune,NA,AL.BE.BR.CU
ALB,Albania,ALB.1_1,Berat,NA,ALB.1.1_1,Beratit,NA,ALB.1.1.3_1,Kutalli,Kutali,NA,Commune,Commune,NA,AL.BE.BR.KT
ALB,Albania,ALB.1_1,Berat,NA,ALB.1.1_1,Beratit,NA,ALB.1.1.4_1,Lumas,NA,NA,Commune,Commune,NA,AL.BE.BR.LU
ALB,Albania,ALB.1_1,Berat,NA,ALB.1.1_1,Beratit,NA,ALB.1.1.5_1,Otllak,Otilak,NA,Commune,Commune,NA,AL.BE.BR.OT
ALB,Albania,ALB.1_1,Berat,NA,ALB.1.1_1,Beratit,NA,ALB.1.1.6_1,Poshnjë,NA,NA,Commune,Commune,NA,AL.BE.BR.PS
ALB,Albania,ALB.1_1,Berat,NA,ALB.1.1_1,Beratit,NA,ALB.1.1.7_1,Roshnik,NA,NA,Commune,Commune,NA,AL.BE.BR.RO
ALB,Albania,ALB.1_1,Berat,NA,ALB.1.1_1,Beratit,NA,ALB.1.1.8_1,Sinjë,NA,NA,Commune,Commune,NA,AL.BE.BR.SI
ALB,Albania,ALB.1_1,Berat,NA,ALB.1.1_1,Beratit,NA,ALB.1.1.9_1,Tërpan,NA,NA,Commune,Commune,NA,AL.BE.BR.TE
ALB,Albania,ALB.1_1,Berat,NA,ALB.1.1_1,Beratit,NA,ALB.1.1.10_1,Ura Vajgurorë,NA,NA,Bashkia,Bashkia,NA,AL.BE.BR.UV
