X.AU,X,Y.AU,Y,D
Berat,P-32701,Berat,P-32741,0.005896515609077912
Berat,P-32701,Berat,P-32801,0.0030984616169129056
Berat,P-32701,Berat,P-3285,0.012041549452492868
Berat,P-32701,Berat,P-3286,0.0399123087565589
Berat,P-32701,Berat,P-32881,0.036804739873808306
Berat,P-32701,Berat,P-3290,0.00952174022176369
Berat,P-32701,Berat,P-3292,0.007810875948006946
Berat,P-32701,Berat,P-3294,0.016909335307791068
Berat,P-32701,Berat,P-32951,0.025126549413803958
Berat,P-32701,Berat,P-32971,0.07052852076613839
Berat,P-32701,Berat,P-3298,0.026989990919425094
Berat,P-32701,Berat,P-33131,0.0049624715966515315
Berat,P-32701,Berat,P-33132,0.005545136406472633
Berat,P-32701,Velabisht,P-3322,0.09730632341450922
Berat,P-32701,Velabisht,P-3324,0.00733096240937783
Berat,P-32701,Velabisht,P-3326,0.004205348647826455
Berat,P-32701,Velabisht,P-3328,0.027517153458303526
Berat,P-32701,Otllak,P-3429,0.011576984250003657
Berat,P-32701,Otllak,P-34291,0.004929089398212211
Berat,P-32701,Otllak,P-3430,0.01636299034274818
Berat,P-32701,Otllak,P-3431,0.09581431288437223
Berat,P-32741,Berat,P-32801,0.01754119097551354
Berat,P-32741,Berat,P-3285,0.006323226739643149
Berat,P-32741,Berat,P-3286,0.0247294553494207
Berat,P-32741,Berat,P-32881,0.02329083610029571
Berat,P-32741,Berat,P-3290,5.172286628586779e-4
Berat,P-32741,Berat,P-3292,0.014092611269872296
Berat,P-32741,Berat,P-3294,0.0031127473103991147
Berat,P-32741,Berat,P-32951,0.007972345487700854
Berat,P-32741,Berat,P-32971,0.0354829675227318
Berat,P-32741,Berat,P-3298,0.05113352985942543
Berat,P-32741,Berat,P-33131,0.018451444161095322
Berat,P-32741,Berat,P-33132,1.2634499803627626e-4
Berat,P-32741,Velabisht,P-3322,0.05522539576581524
Berat,P-32741,Velabisht,P-3324,0.025776172220839638
Berat,P-32741,Velabisht,P-3326,0.0011597824812283972
Berat,P-32741,Velabisht,P-3328,0.019398529056807626
Berat,P-32741,Otllak,P-3429,9.472891279750559e-4
Berat,P-32741,Otllak,P-34291,0.01581897791399245
Berat,P-32741,Otllak,P-3430,0.0042423504629846166
Berat,P-32741,Otllak,P-3431,0.06727643012789493
Berat,P-32801,Berat,P-3285,0.024506294455579627
Berat,P-32801,Berat,P-3286,0.06007894147856969
Berat,P-32801,Berat,P-32881,0.05573597117530381
Berat,P-32801,Berat,P-3290,0.023309253083802717
Berat,P-32801,Berat,P-3292,0.00956321445458301
