X.AU,X,Y.AU,Y,D
Durres,P-1408,Durres,P-14081,0.0015114391527709268
Durres,P-1408,Durres,P-14082,0.005858888638869927
Durres,P-1408,Durres,P-14083,0.028921422947105306
Durres,P-1408,Durres,P-1409,0.02000706138549027
Durres,P-1408,Durres,P-14091,0.014074350051518646
Durres,P-1408,Durres,P-14092,0.005723805408840155
Durres,P-1408,Durres,P-1410,0.04216835143962962
Durres,P-1408,Durres,P-14101,0.02024193385762058
Durres,P-1408,Durres,P-14102,0.02953205500002463
Durres,P-1408,Durres,P-14103,0.04100353432419272
Durres,P-1408,Durres,P-14104,0.026537774140192837
Durres,P-1408,Durres,P-1411,0.023948565155510734
Durres,P-1408,Durres,P-14111,0.0053913149871322105
Durres,P-1408,Durres,P-14112,0.010222325663291811
Durres,P-1408,Durres,P-14113,0.020653159332311554
Durres,P-1408,Durres,P-1412,0.03820636993746493
Durres,P-1408,Durres,P-14121,0.0045090161920472195
Durres,P-1408,Durres,P-14122,0.034178537994434835
Durres,P-1408,Durres,P-14123,0.06182461546680135
Durres,P-1408,Durres,P-1413,3.1340486795949137e-4
Durres,P-1408,Durres,P-14131,0.019886051707776027
Durres,P-1408,Durres,P-14132,0.03646157950844714
Durres,P-1408,Durres,P-14133,0.012565363120470373
Durres,P-1408,Durres,P-1414,0.043143916260082266
Durres,P-1408,Durres,P-14141,0.003573905185908397
Durres,P-1408,Durres,P-1415,0.002882975723311373
Durres,P-1408,Durres,P-14151,0.0075047549239525765
Durres,P-1408,Durres,P-14152,0.020084005160805544
Durres,P-1408,Durres,P-1416,0.0245213619102342
Durres,P-1408,Durres,P-14161,0.031121719953366
Durres,P-1408,Durres,P-1417,0.012988430026674448
Durres,P-1408,Durres,P-14171,0.001092858045605861
Durres,P-1408,Durres,P-1418,0.10001754637748761
Durres,P-1408,Durres,P-14181,0.017371452728038774
Durres,P-1408,Durres,P-1419,0.021767862103712243
Durres,P-1408,Durres,P-14191,0.01083820101212565
Durres,P-1408,Durres,P-14192,6.450380024963643e-4
Durres,P-1408,Durres,P-1420,0.3639866017601895
Durres,P-1408,Durres,P-14201,0.13626886861058657
Durres,P-1408,Durres,P-14202,0.27059690125726565
Durres,P-1408,Durres,P-14203,0.339401927550068
Durres,P-1408,Durres,P-14204,0.28274344917777494
Durres,P-1408,Durres,P-14205,0.28424113864458145
Durres,P-1408,Durres,P-1421,0.013588652785943168
Durres,P-1408,Durres,P-14211,0.0015123939933557482
Durres,P-1408,Durres,P-14212,0.02324356660189379
Durres,P-1408,Durres,P-1422,0.012519723296460894
Durres,P-1408,Durres,P-14221,0.01871404538672469
Durres,P-1408,Durres,P-14222,0.0012127769449695146
Durres,P-1408,Durres,P-1423,0.04705443357169096
Durres,P-1408,Durres,P-14231,0.037274195217324405
Durres,P-1408,Durres,P-1424,0.04263115804783836
Durres,P-1408,Durres,P-14241,7.722716790238931e-4
