X.AU,X,Y.AU,Y,D
Durres,P-14083,Durres,P-14122,4.4282530187647216e-4
Durres,P-14083,Durres,P-14123,0.030406199164412825
Durres,P-14083,Durres,P-14152,0.002031259174404736
Durres,P-14083,Durres,P-14161,0.01794585343399118
Durres,P-14083,Durres,P-1423,0.033452068129539075
Durres,P-14083,Durres,P-1425,0.01913226379464221
Durres,P-14083,Durres,P-14282,0.025801349950672528
Durres,P-14083,Durres,P-14292,0.010157540169091308
Durres,P-14083,Durres,P-1430,1.9917205812726956e-4
Durres,P-14083,Durres,P-14322,0.00794443089009687
Durres,P-14083,Durres,P-14371,0.00357993982979198
Durres,P-14083,Durres,P-1438,7.619435208810984e-4
Durres,P-14083,Durres,P-1440,0.005667537358603548
Durres,P-14083,Durres,P-14401,0.0238161863725433
Durres,P-14083,Durres,P-14492,0.05583348068287389
Durres,P-14083,Durres,P-1451,0.06863828204192891
Durres,P-14083,Durres,P-14701,0.010666939708672506
Durres,P-14083,Durres,P-14702,0.002075209773473429
Durres,P-14083,Durres,P-14704,9.553732145407478e-4
Durres,P-14083,Durres,P-14751,0.002888559595258192
Durres,P-14083,Durres,P-14831,0.002975926925822124
Durres,P-14083,Durres,P-14832,0.03310816555860269
Durres,P-14083,Durres,P-14841,0.003122512280900319
Durres,P-14083,Durres,P-14851,0.08752691689119704
Durres,P-14083,Durres,P-14881,0.08306513912079955
Durres,P-14083,Durres,P-14931,0.0017094731466445606
Durres,P-14083,Durres,P-1495,0.01773708999994749
Durres,P-14083,Durres,P-14961,0.008210917117682577
Durres,P-14083,Katund I ri,P-1528,0.09806399722460521
Durres,P-14083,Rashbull,P-1376,0.08057245747870775
Durres,P-14083,Rashbull,P-1379,0.017482557248849662
Durres,P-14083,Rashbull,P-13791,0.024597299599217172
Durres,P-14083,Rashbull,P-13801,0.018236400013669163
Durres,P-14122,Durres,P-14123,0.02516321840129036
Durres,P-14122,Durres,P-14152,0.004369655607332511
Durres,P-14122,Durres,P-14161,0.015772414812029175
Durres,P-14122,Durres,P-1423,0.029607521225698263
Durres,P-14122,Durres,P-1425,0.0166203520524234
Durres,P-14122,Durres,P-14282,0.020167701083566622
Durres,P-14122,Durres,P-14292,0.006779519171831614
Durres,P-14122,Durres,P-1430,0.0011634821197084007
Durres,P-14122,Durres,P-14322,0.007395435098978945
Durres,P-14122,Durres,P-14371,0.0017950221087258016
Durres,P-14122,Durres,P-1438,0.002212360037404366
Durres,P-14122,Durres,P-1440,0.0038052223737588364
Durres,P-14122,Durres,P-14401,0.02135826918666285
Durres,P-14122,Durres,P-14492,0.05088367344145073
Durres,P-14122,Durres,P-1451,0.06091228224433601
Durres,P-14122,Durres,P-14701,0.00734742149983662
Durres,P-14122,Durres,P-14702,0.0010751502388602575
Durres,P-14122,Durres,P-14704,0.0010305851996564885
Durres,P-14122,Durres,P-14751,0.0011744279707770421
Durres,P-14122,Durres,P-14831,0.0030325065636908656
Durres,P-14122,Durres,P-14832,0.026940226454615336
Durres,P-14122,Durres,P-14841,0.0012870577737219596
Durres,P-14122,Durres,P-14851,0.07950016163654187
Durres,P-14122,Durres,P-14881,0.07348527678590323
Durres,P-14122,Durres,P-14931,0.0038669192352231412
Durres,P-14122,Durres,P-1495,0.014111047833313954
Durres,P-14122,Durres,P-14961,0.005105348107507933
Durres,P-14122,Katund I ri,P-1528,0.09024566671125611
Durres,P-14122,Rashbull,P-1376,0.07097255824637819
Durres,P-14122,Rashbull,P-1379,0.012373206462872575
Durres,P-14122,Rashbull,P-13791,0.03125384090844566
Durres,P-14122,Rashbull,P-13801,0.014052605372725877
Durres,P-14123,Durres,P-14152,0.044174406406467415
Durres,P-14123,Durres,P-14161,0.005147613956679391
Durres,P-14123,Durres,P-1423,0.002744904119701257
Durres,P-14123,Durres,P-1425,0.004086146372766171
Durres,P-14123,Durres,P-14282,0.0016362272950722016
Durres,P-14123,Durres,P-14292,0.025965403173053618
Durres,P-14123,Durres,P-1430,0.03243607409218505
Durres,P-14123,Durres,P-14322,0.012701469175504625
Durres,P-14123,Durres,P-14371,0.013474801395081247
Durres,P-14123,Durres,P-1438,0.03455225649852352
Durres,P-14123,Durres,P-1440,0.0097641729210521
Durres,P-14123,Durres,P-14401,0.004914583951082317
Durres,P-14123,Durres,P-14492,0.007817593201946482
Durres,P-14123,Durres,P-1451,0.007570439950626013
Durres,P-14123,Durres,P-14701,0.005486905753480184
Durres,P-14123,Durres,P-14702,0.016498295455927167
Durres,P-14123,Durres,P-14704,0.022321163525501665
Durres,P-14123,Durres,P-14751,0.015852017944387377
Durres,P-14123,Durres,P-14831,0.018798590983599952
Durres,P-14123,Durres,P-14832,0.04198163873065043
Durres,P-14123,Durres,P-14841,0.015830472657766683
Durres,P-14123,Durres,P-14851,0.015438860377220257
Durres,P-14123,Durres,P-14881,0.012331436957168438
Durres,P-14123,Durres,P-14931,0.0415662629054422
Durres,P-14123,Durres,P-1495,0.001764810131575522
Durres,P-14123,Durres,P-14961,0.008505087314630917
Durres,P-14123,Katund I ri,P-1528,0.02137275684923457
Durres,P-14123,Rashbull,P-1376,0.011571874728321765
Durres,P-14123,Rashbull,P-1379,0.015257235529760308
Durres,P-14123,Rashbull,P-13791,0.10838056910817634
