X.AU,X,Y.AU,Y,D
Katund I ri,P-1514,Katund I ri,P-15141,0.006110372888144238
Katund I ri,P-1514,Katund I ri,P-1515,0.19076514875077027
Katund I ri,P-1514,Katund I ri,P-1516,0.11888208676137518
Katund I ri,P-1514,Katund I ri,P-1517,0.35221579810133496
Katund I ri,P-1514,Katund I ri,P-1518,0.0059149619426699645
Katund I ri,P-1514,Katund I ri,P-1519,0.015168844804744125
Katund I ri,P-1514,Katund I ri,P-15191,0.03226730122141339
Katund I ri,P-1514,Katund I ri,P-1520,0.07081470753355815
Katund I ri,P-1514,Katund I ri,P-1521,0.012856583343754748
Katund I ri,P-1514,Katund I ri,P-1522,0.06280847855670657
Katund I ri,P-1514,Katund I ri,P-1523,0.03451380561806176
Katund I ri,P-1514,Katund I ri,P-1524,0.028311668986465647
Katund I ri,P-1514,Katund I ri,P-15241,0.0016294284848267955
Katund I ri,P-1514,Katund I ri,P-1525,0.059270873335019805
Katund I ri,P-1514,Katund I ri,P-1526,0.026272569811928867
Katund I ri,P-1514,Katund I ri,P-15261,0.24746574003567146
Katund I ri,P-1514,Katund I ri,P-1527,0.09068752976444602
Katund I ri,P-1514,Katund I ri,P-1528,0.17028028486582408
Katund I ri,P-1514,Durres,P-1408,0.16253215348793215
Katund I ri,P-1514,Durres,P-14081,0.15877627232097397
Katund I ri,P-1514,Durres,P-14082,0.12434969479494073
Katund I ri,P-1514,Durres,P-14083,0.2944844594654672
Katund I ri,P-1514,Durres,P-1409,0.08348983231043333
Katund I ri,P-1514,Durres,P-14091,0.08086162075199357
Katund I ri,P-1514,Durres,P-14092,0.2225674104920352
Katund I ri,P-1514,Durres,P-1410,0.04022401446085524
Katund I ri,P-1514,Durres,P-14101,0.08463951948062051
Katund I ri,P-1514,Durres,P-14102,0.053348723381494406
Katund I ri,P-1514,Durres,P-14103,0.08505307640096185
Katund I ri,P-1514,Durres,P-14104,0.09962999890096949
Katund I ri,P-1514,Durres,P-1411,0.29085769385086835
Katund I ri,P-1514,Durres,P-14111,0.22369187628112164
Katund I ri,P-1514,Durres,P-14112,0.14189350082392782
Katund I ri,P-1514,Durres,P-14113,0.1990000573211042
Katund I ri,P-1514,Durres,P-1412,0.09287311420224165
Katund I ri,P-1514,Durres,P-14121,0.20560826339541052
Katund I ri,P-1514,Durres,P-14122,0.2999961534288871
Katund I ri,P-1514,Durres,P-14123,0.23829863696473974
Katund I ri,P-1514,Durres,P-1413,0.1718037714008179
Katund I ri,P-1514,Durres,P-14131,0.10244275655832541
Katund I ri,P-1514,Durres,P-14132,0.04501124266648743
Katund I ri,P-1514,Durres,P-14133,0.08636315054138494
Katund I ri,P-1514,Durres,P-1414,0.20269267299718757
Katund I ri,P-1514,Durres,P-14141,0.18062341872530419
Katund I ri,P-1514,Durres,P-1415,0.13486151221844717
Katund I ri,P-1514,Durres,P-14151,0.1465348866368598
Katund I ri,P-1514,Durres,P-14152,0.2833211028972129
Katund I ri,P-1514,Durres,P-1416,0.13249220538612536
Katund I ri,P-1514,Durres,P-14161,0.20142534625816721
Katund I ri,P-1514,Durres,P-1417,0.09247536669342098
Katund I ri,P-1514,Durres,P-14171,0.14082384708012766
Katund I ri,P-1514,Durres,P-1418,0.036582911029639335
Katund I ri,P-1514,Durres,P-14181,0.08112527339549658
Katund I ri,P-1514,Durres,P-1419,0.09434236190609152
Katund I ri,P-1514,Durres,P-14191,0.09247324041617125
Katund I ri,P-1514,Durres,P-14192,0.1629132970215489
Katund I ri,P-1514,Durres,P-1420,0.08543567393305171
Katund I ri,P-1514,Durres,P-14201,0.029091747397944717
Katund I ri,P-1514,Durres,P-14202,0.12144389780035354
Katund I ri,P-1514,Durres,P-14203,0.09672391995826682
Katund I ri,P-1514,Durres,P-14204,0.04875725559449013
Katund I ri,P-1514,Durres,P-14205,0.1165369821247777
Katund I ri,P-1514,Durres,P-1421,0.144309068962142
Katund I ri,P-1514,Durres,P-14211,0.17698197585772352
Katund I ri,P-1514,Durres,P-14212,0.19730168209580312
Katund I ri,P-1514,Durres,P-1422,0.12032469773241992
Katund I ri,P-1514,Durres,P-14221,0.20028030641423428
Katund I ri,P-1514,Durres,P-14222,0.1887088661762949
Katund I ri,P-1514,Durres,P-1423,0.19032945165232018
Katund I ri,P-1514,Durres,P-14231,0.05520561033108741
Katund I ri,P-1514,Durres,P-1424,0.09147516859687757
Katund I ri,P-1514,Durres,P-14241,0.18159815169297333
Katund I ri,P-1514,Durres,P-14242,0.09107963322095783
Katund I ri,P-1514,Durres,P-1425,0.2039065264262327
Katund I ri,P-1514,Durres,P-14251,0.05688538490723723
Katund I ri,P-1514,Durres,P-1426,0.049501875316678906
Katund I ri,P-1514,Durres,P-14261,0.048931676526431385
Katund I ri,P-1514,Durres,P-14262,0.06540763377003403
Katund I ri,P-1514,Durres,P-1427,0.22764564438947785
Katund I ri,P-1514,Durres,P-14271,0.16500070193401753
Katund I ri,P-1514,Durres,P-1428,0.22913129208729505
Katund I ri,P-1514,Durres,P-14281,0.22915425287260693
Katund I ri,P-1514,Durres,P-14282,0.2777440016888798
Katund I ri,P-1514,Durres,P-1429,0.11080871298078485
Katund I ri,P-1514,Durres,P-14291,0.2635178975167133
Katund I ri,P-1514,Durres,P-14292,0.37305694000725464
Katund I ri,P-1514,Durres,P-1430,0.28453271525681234
Katund I ri,P-1514,Durres,P-14301,0.15114456140484236
Katund I ri,P-1514,Durres,P-14302,0.09196053706379437
Katund I ri,P-1514,Durres,P-1431,0.21917891339699816
Katund I ri,P-1514,Durres,P-14311,0.12160992844672135
Katund I ri,P-1514,Durres,P-14312,0.2985313299926109
Katund I ri,P-1514,Durres,P-1432,0.059796256073111564
Katund I ri,P-1514,Durres,P-14321,0.04177744683987426
Katund I ri,P-1514,Durres,P-14322,0.2169942985254085
Katund I ri,P-1514,Durres,P-14323,0.15356077703337373
Katund I ri,P-1514,Durres,P-1433,0.36601123256175777
Katund I ri,P-1514,Durres,P-14331,0.2664824706251941
Katund I ri,P-1514,Durres,P-1434,0.1343546797988446
Katund I ri,P-1514,Durres,P-14341,0.010347512359085575
Katund I ri,P-1514,Durres,P-1435,0.1822099428274186
Katund I ri,P-1514,Durres,P-14351,0.1396631767058754
Katund I ri,P-1514,Durres,P-1436,0.13279415925753535
Katund I ri,P-1514,Durres,P-1437,0.29814523094038764
Katund I ri,P-1514,Durres,P-14371,0.2811726424492708
Katund I ri,P-1514,Durres,P-1438,0.27490731357701403
Katund I ri,P-1514,Durres,P-14381,0.2318121274570069
Katund I ri,P-1514,Durres,P-1439,0.0756494951031969
Katund I ri,P-1514,Durres,P-14391,0.04395425156168249
Katund I ri,P-1514,Durres,P-1440,0.25850449839592443
Katund I ri,P-1514,Durres,P-14401,0.18822938766394987
Katund I ri,P-1514,Durres,P-1441,0.15900849005077347
Katund I ri,P-1514,Durres,P-14411,0.11048272097000907
Katund I ri,P-1514,Durres,P-1442,0.051872941993264546
