District,Municipality,Administrative Unit,Vote Tally
Berat,Berat,Berat,1159
Berat,Berat,Roshnik,114
Berat,Berat,Sinje,165
Berat,Kucove,Lumas,118
Berat,Polican,Polican,151
Berat,Polican,Vertop,160
Berat,Skrapar,Cepan,19
Berat,Skrapar,Corovode,152
Berat,Skrapar,Leshnje,11
Berat,Skrapar,Potom,18
Berat,Skrapar,Qender-Skrapar,110
Berat,Ura Vajgurore,Cukalat,139
Diber,Bulqize,Fushe Bulqize,193
Diber,Bulqize,Gjorice,160
Diber,Bulqize,Shupenze,187
Diber,Bulqize,Trebisht,13
Diber,Bulqize,Zerqan,181
Diber,Diber,Fushe Muhur,76
Diber,Diber,Kala e Dodes,16
Diber,Diber,Melan,105
Diber,Diber,Zall Rec,7
Diber,Klos,Suc,100
Diber,Klos,Xiber,77
Diber,Mat,Komsi,149
Diber,Mat,Lis,143
Durres,Durres,Ishem,146
Durres,Kruje,Bubq,165
Durres,Shijak,Maminas,179
Elbasan,Belsh,Grekan,127
Elbasan,Belsh,Kajan,137
Elbasan,Cerrik,Mollas (EL),170
Elbasan,Cerrik,Shales,120
Elbasan,Elbasan,Gjergjan,184
Elbasan,Elbasan,Gjinar,101
Elbasan,Elbasan,Tregan,119
Elbasan,Gramsh,Pishaj,146
Elbasan,Librazhd,Orenje,162
Elbasan,Librazhd,Polis,108
Elbasan,Peqin,Gjocaj,192
Elbasan,Peqin,Pajove,180
Elbasan,Peqin,Peqin,163
Fier,Divjake,Grabian,152
Fier,Divjake,Remas,143
Fier,Fier,Libofshe,185
Fier,Fier,Topoje,129
Fier,Fier,Fier,1057
Fier,Lushnje,Allkaj,159
Fier,Lushnje,Ballagat,121
Fier,Lushnje,Golem (FR),189
Fier,Lushnje,Karbunare,171
Fier,Lushnje,Kolonje,180
Fier,Mallakaster,Ballsh,181
Fier,Mallakaster,Fratar,120
Fier,Mallakaster,Ngracan,17
Fier,Patos,Zharres,195
Fier,Roskovec,Kuman,171
Fier,Roskovec,Roskovec,136
Fier,Roskovec,Strum,132
Gjirokaster,Dropull,Pogon,10
Gjirokaster,Gjirokaster,Odrie,1
Gjirokaster,Libohove,Zagori,12
Gjirokaster,Memaliaj,Buz,14
Gjirokaster,Memaliaj,Krahes,103
Gjirokaster,Memaliaj,Memaliaj,114
Gjirokaster,Permet,Frasher,19
Gjirokaster,Tepelene,Lopes,15
Gjirokaster,Tepelene,Qender-Tepelene,108
Gjirokaster,Tepelene,Tepelene,166
Korce,Devoll,Bilisht,169
Korce,Devoll,Hocisht,107
Korce,Devoll,Miras,153
Korce,Devoll,Proger,101
Korce,Devoll,Qender-Bilisht,159
Korce,Kolonje,Barmash,12
Korce,Kolonje,Clirim,13
Korce,Kolonje,Erseke,173
Korce,Kolonje,Qender-Erseke,115
Korce,Korce,Drenove,140
Korce,Korce,Mollaj,180
Korce,Korce,Voskop,113
Korce,Korce,Korce,1120
Korce,Maliq,Maliq,164
Korce,Pogradec,Dardhas,137
Korce,Pogradec,Trebinje,109
Korce,Pogradec,Velcan,135
Korce,Pustec,Pustec,73
Kukes,Has,Golaj,128
Kukes,Kukes,Bicaj,113
Kukes,Kukes,Bushtrice,14
Kukes,Kukes,Kalis,11
Kukes,Tropoje,Bajram Curri,181
Lezhe,Kurbin,Lac,756
Lezhe,Lezhe,Blinisht,107
Lezhe,Lezhe,Dajc (LE),160
Lezhe,Lezhe,Kallmet,146
Lezhe,Mirdite,Rubik,112
Shkoder,Fushe Arrez,Fushe Arrez,101
Shkoder,Malesi e Madhe,Kelmend,127
Shkoder,Malesi e Madhe,Shkrel,172
Shkoder,Puke,Gjegjan,106
Shkoder,Puke,Puke,100
Shkoder,Shkoder,Berdice,149
Shkoder,Shkoder,Postribe,173
Shkoder,Shkoder,Shosh,12
Shkoder,Shkoder,Velipoje,166
Shkoder,Shkoder,Shkoder,1705
Shkoder,Vau Dejes,Hajmel,113
Tirane,Kamez,Kamez,1801
Tirane,Kamez,Paskuqan,784
Tirane,Kavaje,Golem (TR),179
Tirane,Kavaje,Luz I Vogel,105
Tirane,Kavaje,Synej,120
Tirane,Rrogozhine,Gose,121
Tirane,Rrogozhine,Lekaj,138
Tirane,Rrogozhine,Rrogozhine,179
Tirane,Tirane,Baldushk,127
Tirane,Tirane,Kashar,1118
Tirane,Tirane,Petrele,190
Tirane,Tirane,Berzhite,172
Tirane,Tirane,Shengjergj,76
Tirane,Tirane,Zall Bastar,133
Tirane,Tirane,Njesia Nr. 2,1091
Tirane,Tirane,Njesia Nr. 4,1068
Tirane,Tirane,Njesia Nr. 5,1036
Tirane,Tirane,Njesia Nr. 6,1256
Tirane,Tirane,Njesia Nr. 10,120
Tirane,Tirane,Njesia Nr. 11,1045
Tirane,Vore,Preze,140
Vlore,Delvine,Vergo,74
Vlore,Konispol,Markat,75
Vlore,Konispol,Xarre,111
Vlore,Sarande,Ksamil,122
Vlore,Selenice,Armen,112
Vlore,Selenice,Kote,72
Vlore,Selenice,Vllahine,105
Vlore,Vlore,Orikum,170
Vlore,Vlore,Shushice,124
Vlore,Vlore,Vlore,1676
