District,Municipality,Administrative Unit,Vote Tally
Berat,Berat,Otllak,1726
Berat,Berat,Roshnik,311
Berat,Berat,Velabisht,1100
Berat,Kucove,Kozare,1198
Berat,Kucove,Perondi,1002
Berat,Polican,Polican,344
Berat,Polican,Terpan,107
Berat,Skrapar,Bogove,119
Berat,Skrapar,Qender-Skrapar,165
Berat,Skrapar,Vendresh,38
Berat,Skrapar,Zhepe,16
Berat,Ura Vajgurore,Kutalli,1738
Berat,Ura Vajgurore,Poshnje,1446
Berat,Ura Vajgurore,Ura Vajgurore,1174
Diber,Bulqize,Bulqize,1439
Diber,Bulqize,Trebisht,123
Diber,Diber,Kala e Dodes,357
Diber,Diber,Kastriot,1242
Diber,Diber,Peshkopi,3814
Diber,Diber,Tomin,1700
Diber,Diber,Zall Dardhe,178
Diber,Diber,Zall Rec,140
Diber,Klos,Klos (DI),1771
Diber,Mat,Macukull,350
Durres,Durres,Ishem,1029
Durres,Durres,Manez,1640
Durres,Durres,Sukth,3791
Durres,Kruje,Bubq,1227
Durres,Kruje,Kruje,3382
Durres,Shijak,Shijak,1529
Elbasan,Belsh,Belsh,1912
Elbasan,Cerrik,Cerrik,1213
Elbasan,Cerrik,Gostime,1192
Elbasan,Elbasan,Labinot Fushe,1569
Elbasan,Elbasan,Paper,1261
Elbasan,Elbasan,Shirgjan,1300
Elbasan,Elbasan,Shushice,1504
Elbasan,Elbasan,Elbasan,19733
Elbasan,Gramsh,Gramsh,1585
Elbasan,Gramsh,Kodovjat,343
Elbasan,Gramsh,Kushove,143
Elbasan,Gramsh,Lenie,100
Elbasan,Gramsh,Porocan,130
Elbasan,Gramsh,Sult,144
Elbasan,Librazhd,Librazhd,1604
Elbasan,Librazhd,Lunik,338
Elbasan,Librazhd,Qender-Librazhd,1324
Elbasan,Librazhd,Stebleve,193
Elbasan,Peqin,Gjocaj,1128
Elbasan,Peqin,Pajove,1251
Elbasan,Peqin,Peqin,1413
Elbasan,Prrenjas,Qukes,1369
Elbasan,Prrenjas,Rajce,1073
Fier,Divjake,Gradisht,1374
Fier,Divjake,Remas,1026
Fier,Divjake,Terbuf,1876
Fier,Fier,Frakull,1299
Fier,Fier,Levan,1705
Fier,Fier,Portez,1328
Fier,Fier,Dermenas,1764
Fier,Fier,Mbrostar,1320
Fier,Fier,Qender-Fier,1549
Fier,Fier,Fier,11933
Fier,Lushnje,Dushk,1415
Fier,Lushnje,Fier Shegan,1225
Fier,Lushnje,Kolonje,1148
Fier,Lushnje,Krutje,1267
Fier,Mallakaster,Ballsh,1596
Fier,Mallakaster,Greshice,144
Fier,Mallakaster,Kute,304
