District,Municipality,Administrative Unit,Vote Tally
Berat,Berat,Berat,11312
Berat,Berat,Sinje,1041
Berat,Kucove,Kozare,1441
Berat,Kucove,Kucove,4728
Berat,Kucove,Lumas,1145
Berat,Polican,Polican,1720
Berat,Polican,Terpan,449
Berat,Polican,Vertop,1702
Berat,Skrapar,Cepan,157
Berat,Skrapar,Corovode,1281
Berat,Skrapar,Gjerbes,186
Berat,Skrapar,Leshnje,172
Berat,Skrapar,Zhepe,150
Berat,Ura Vajgurore,Poshnje,1812
Diber,Bulqize,Bulqize,1861
Diber,Bulqize,Martanesh,420
Diber,Bulqize,Shupenze,1154
Diber,Diber,Fushe Muhur,448
Diber,Diber,Kala e Dodes,198
Diber,Diber,Kastriot,1028
Diber,Diber,Lure,158
Diber,Diber,Tomin,1293
Diber,Diber,Zall Dardhe,195
Diber,Diber,Zall Rec,170
Diber,Klos,Klos (DI),1889
Diber,Mat,Baz,446
Diber,Mat,Rukaj,499
Durres,Durres,Ishem,1350
Durres,Durres,Katund I Ri,1875
Durres,Durres,Manez,1976
Durres,Kruje,Bubq,1672
Durres,Shijak,Maminas,1490
Elbasan,Belsh,Kajan,1128
Elbasan,Cerrik,Mollas (EL),1764
Elbasan,Elbasan,Gjergjan,1595
Elbasan,Elbasan,Gjinar,1052
Elbasan,Elbasan,Labinot Fushe,1343
Elbasan,Elbasan,Labinot Mal,1432
Elbasan,Elbasan,Paper,1701
Elbasan,Elbasan,Zavaline,441
Elbasan,Gramsh,Pishaj,1694
Elbasan,Gramsh,Tunje,454
Elbasan,Librazhd,Hotolisht,1635
Elbasan,Librazhd,Orenje,1170
Elbasan,Librazhd,Polis,1211
Elbasan,Librazhd,Stebleve,193
Elbasan,Peqin,Gjocaj,1094
Elbasan,Peqin,Karine,452
Elbasan,Peqin,Pajove,1642
Elbasan,Peqin,Peqin,1790
Elbasan,Prrenjas,Prrenjas,1723
Fier,Divjake,Grabian,1025
Fier,Divjake,Remas,1192
Fier,Fier,Dermenas,1929
Fier,Fier,Libofshe,1907
Fier,Fier,Mbrostar,1788
Fier,Fier,Qender-Fier,1953
Fier,Fier,Topoje,1763
Fier,Fier,Fier,17507
Fier,Lushnje,Allkaj,1356
Fier,Lushnje,Bubullime,1979
Fier,Lushnje,Dushk,1768
Fier,Lushnje,Fier Shegan,1778
Fier,Lushnje,Golem (FR),1253
Fier,Lushnje,Karbunare,1148
Fier,Lushnje,Kolonje,1896
Fier,Mallakaster,Ballsh,1699
Fier,Mallakaster,Ngracan,108
Fier,Mallakaster,Qender-Mallakaster,1167
