District,Municipality,Administrative Unit,PS,PD,Other Parties,Invalid Ballots,Eligible Voters,Total Eligible Votes,Total Votes,Turnout
Berat,Berat,Berat,11312,7214,2255,1159,52154,20781,21940,0.4206772251409288
Berat,Berat,Otllak,2673,1726,638,347,12029,5037,5384,0.44758500290963504
Berat,Berat,Roshnik,830,311,84,114,2857,1225,1339,0.46867343367168357
Berat,Berat,Sinje,1041,516,253,165,3908,1810,1975,0.5053735926305015
Berat,Berat,Velabisht,2446,1100,525,413,9397,4071,4484,0.47717356603171224
Berat,Kucove,Kozare,1441,1198,275,222,6465,2914,3136,0.4850734725444702
Berat,Kucove,Kucove,4728,2517,900,449,24378,8145,8594,0.3525309705472147
Berat,Kucove,Lumas,1145,641,213,118,5372,1999,2117,0.39408041697691737
Berat,Kucove,Perondi,2085,1002,576,263,8688,3663,3926,0.4518876611418048
Berat,Polican,Polican,1720,344,591,151,6179,2655,2806,0.4541187894481308
Berat,Polican,Terpan,449,107,144,46,1692,700,746,0.44089834515366433
Berat,Polican,Vertop,1702,594,217,160,5309,2513,2673,0.5034846487097382
Berat,Skrapar,Bogove,201,119,149,39,1237,469,508,0.4106709781729992
Berat,Skrapar,Cepan,157,45,174,19,758,376,395,0.521108179419525
Berat,Skrapar,Corovode,1281,282,889,152,4701,2452,2604,0.5539246968730057
Berat,Skrapar,Gjerbes,186,65,83,25,814,334,359,0.44103194103194104
Berat,Skrapar,Leshnje,172,20,96,11,516,288,299,0.5794573643410853
Berat,Skrapar,Potom,358,26,101,18,793,485,503,0.6343001261034048
Berat,Skrapar,Qender-Skrapar,780,165,526,110,3096,1471,1581,0.5106589147286822
Berat,Skrapar,Vendresh,262,38,187,29,939,487,516,0.549520766773163
Berat,Skrapar,Zhepe,150,16,102,24,720,268,292,0.40555555555555556
Berat,Ura Vajgurore,Cukalat,703,634,112,139,3237,1449,1588,0.4905776953969725
Berat,Ura Vajgurore,Kutalli,2478,1738,483,441,10339,4699,5140,0.4971467259889738
Berat,Ura Vajgurore,Poshnje,1812,1446,332,322,8220,3590,3912,0.4759124087591241
Berat,Ura Vajgurore,Ura Vajgurore,2243,1174,339,356,9321,3756,4112,0.4411543825769767
Diber,Bulqize,Bulqize,1861,1439,1051,476,9158,4351,4827,0.5270801485040402
Diber,Bulqize,Fushe Bulqize,605,528,405,193,2992,1538,1731,0.578542780748663
Diber,Bulqize,Gjorice,839,756,138,160,3946,1733,1893,0.47972630511910797
Diber,Bulqize,Martanesh,420,205,91,63,1660,716,779,0.46927710843373494
Diber,Bulqize,Ostren,604,572,55,89,2371,1231,1320,0.5567271193589203
Diber,Bulqize,Shupenze,1154,936,259,187,5019,2349,2536,0.5052799362422793
Diber,Bulqize,Trebisht,261,123,13,13,772,397,410,0.5310880829015544
Diber,Bulqize,Zerqan,679,819,233,181,3667,1731,1912,0.5214071448050177
Diber,Diber,Arras,508,629,77,55,2539,1214,1269,0.4998030720756203
Diber,Diber,Fushe Cidhen,307,655,151,85,2590,1113,1198,0.46254826254826253
Diber,Diber,Fushe Muhur,448,484,155,76,2427,1087,1163,0.4791924186238154
Diber,Diber,Kala e Dodes,198,357,20,16,1695,575,591,0.3486725663716814
Diber,Diber,Kastriot,1028,1242,436,225,5466,2706,2931,0.5362239297475302
Diber,Diber,Lure,158,282,13,37,898,453,490,0.5456570155902004
Diber,Diber,Luzni,390,532,72,91,2046,994,1085,0.5303030303030303
Diber,Diber,Maqellare,2185,2103,524,297,10269,4812,5109,0.4975167981302951
Diber,Diber,Melan,682,822,120,105,3166,1624,1729,0.5461149715729627
Diber,Diber,Peshkopi,3154,3814,801,495,14539,7769,8264,0.568402228488892
Diber,Diber,Selishte,223,284,47,20,1174,554,574,0.4889267461669506
Diber,Diber,Sllove,520,525,74,58,2109,1119,1177,0.5580844001896633
Diber,Diber,Tomin,1293,1700,318,239,6294,3311,3550,0.5640292341912932
Diber,Diber,Zall Dardhe,195,178,22,8,786,395,403,0.5127226463104325
Diber,Diber,Zall Rec,170,140,15,7,624,325,332,0.532051282051282
Diber,Klos,Gurre,654,851,78,99,2902,1583,1682,0.5796002756719504
Diber,Klos,Klos (DI),1889,1771,310,368,7911,3970,4338,0.5483503981797497
Diber,Klos,Suc,569,623,60,100,2571,1252,1352,0.5258654220147803
Diber,Klos,Xiber,590,493,64,77,2218,1147,1224,0.5518485121731289
Diber,Mat,Baz,446,605,117,58,2327,1168,1226,0.5268586162440911
Diber,Mat,Burrel,3478,2438,483,323,13354,6399,6722,0.5033697768458889
Diber,Mat,Derjan,217,226,35,41,992,478,519,0.5231854838709677
Diber,Mat,Komsi,922,906,93,149,3933,1921,2070,0.5263157894736842
Diber,Mat,Lis,962,706,61,143,3606,1729,1872,0.519134775374376
Diber,Mat,Macukull,258,350,11,40,1284,619,659,0.5132398753894081
Diber,Mat,Rukaj,499,649,69,81,2517,1217,1298,0.5156932856575288
Diber,Mat,Ulez,376,277,64,31,1403,717,748,0.5331432644333571
Durres,Durres,Ishem,1350,1029,274,146,6878,2653,2799,0.4069496946786857
Durres,Durres,Katund I Ri,1875,2878,256,276,12392,5009,5285,0.4264848289218851
Durres,Durres,Manez,1976,1640,277,221,9218,3893,4114,0.44630071599045346
Durres,Durres,Rrashbull,5946,4846,1226,602,26614,12018,12620,0.4741865183737882
Durres,Durres,Sukth,3650,3791,871,594,22209,8312,8906,0.4010086001170697
Durres,Durres,Durres,37512,29322,5623,3268,181322,72457,75725,0.4176272046414666
Durres,Kruje,Bubq,1672,1227,288,165,6875,3187,3352,0.48756363636363637
Durres,Kruje,Cudhi,739,494,80,68,2164,1313,1381,0.6381700554528651
Durres,Kruje,Fushe Kruje,5354,4463,1057,567,20713,10874,11441,0.5523584222468981
Durres,Kruje,Koder Thumane,3298,2506,307,326,12766,6111,6437,0.504229985900047
Durres,Kruje,Kruje,2559,3382,1099,402,12941,7040,7442,0.5750714782474307
Durres,Kruje,Nikel,3008,2004,221,311,8278,5233,5544,0.6697269871949746
Durres,Shijak,Gjepalaj,987,835,306,93,4653,2128,2221,0.4773264560498603
Durres,Shijak,Maminas,1490,707,153,179,6039,2350,2529,0.4187779433681073
Durres,Shijak,Shijak,2689,1529,281,226,10768,4499,4725,0.4388001485884101
Durres,Shijak,Xhafzotaj,2819,2778,389,364,14900,5986,6350,0.4261744966442953
Elbasan,Belsh,Belsh,2480,1912,201,305,11638,4593,4898,0.42086269118405223
Elbasan,Belsh,Fierze (EL),608,517,46,83,3148,1171,1254,0.3983481575603558
Elbasan,Belsh,Grekan,950,483,65,127,3909,1498,1625,0.41570734203121
Elbasan,Belsh,Kajan,1128,764,58,137,5085,1950,2087,0.4104228121927237
Elbasan,Belsh,Rrase,386,270,22,40,1833,678,718,0.3917075831969449
Elbasan,Cerrik,Cerrik,2693,1213,300,228,11940,4206,4434,0.371356783919598
Elbasan,Cerrik,Gostime,2165,1192,564,235,10219,3921,4156,0.4066934142283981
Elbasan,Cerrik,Klos (EL),742,548,213,94,3455,1503,1597,0.4622286541244573
Elbasan,Cerrik,Mollas (EL),1764,604,251,170,6027,2619,2789,0.46275095404015265
Elbasan,Cerrik,Shales,983,670,224,120,5566,1877,1997,0.35878548329141213
Elbasan,Elbasan,Bradashesh,2965,2134,351,488,10707,5450,5938,0.5545904548426264
Elbasan,Elbasan,Funare,737,417,45,86,2157,1199,1285,0.5957348168752897
Elbasan,Elbasan,Gjergjan,1595,716,210,184,6342,2521,2705,0.42652160201829076
Elbasan,Elbasan,Gjinar,1052,451,191,101,3521,1694,1795,0.5097983527406986
Elbasan,Elbasan,Gracen,560,294,84,61,1689,938,999,0.5914742451154529
Elbasan,Elbasan,Labinot Fushe,1343,1569,151,226,5265,3063,3289,0.6246913580246913
Elbasan,Elbasan,Labinot Mal,1432,997,107,218,4110,2536,2754,0.67007299270073
Elbasan,Elbasan,Paper,1701,1261,208,212,7237,3170,3382,0.4673207130026254
Elbasan,Elbasan,Shirgjan,2107,1300,195,257,8316,3602,3859,0.46404521404521404
Elbasan,Elbasan,Shushice,2324,1504,280,361,8673,4108,4469,0.5152772973596218
Elbasan,Elbasan,Tregan,935,719,115,119,3440,1769,1888,0.5488372093023256
Elbasan,Elbasan,Zavaline,441,200,39,22,1370,680,702,0.5124087591240876
Elbasan,Elbasan,Elbasan,23617,19733,3164,2313,105852,46514,48827,0.46127612137701696
Elbasan,Gramsh,Gramsh,3056,1585,459,248,10721,5100,5348,0.49883406398656843
Elbasan,Gramsh,Kodovjat,746,343,141,90,2321,1230,1320,0.5687203791469194
Elbasan,Gramsh,Kukur,600,293,149,94,2110,1042,1136,0.5383886255924171
Elbasan,Gramsh,Kushove,286,143,30,23,840,459,482,0.5738095238095238
Elbasan,Gramsh,Lenie,239,100,37,28,761,376,404,0.5308804204993429
Elbasan,Gramsh,Pishaj,1694,824,183,146,5269,2701,2847,0.5403302334408806
Elbasan,Gramsh,Porocan,396,130,37,94,1166,563,657,0.5634648370497427
Elbasan,Gramsh,Skenderbegas,366,219,79,35,1349,664,699,0.5181616011860638
Elbasan,Gramsh,Sult,280,144,34,21,931,458,479,0.514500537056928
Elbasan,Gramsh,Tunje,454,202,89,45,1562,745,790,0.5057618437900128
Elbasan,Librazhd,Hotolisht,1635,763,274,253,5230,2672,2925,0.5592734225621415
Elbasan,Librazhd,Librazhd,2497,1604,368,216,8602,4469,4685,0.5446407812136712
Elbasan,Librazhd,Lunik,737,338,50,99,2568,1125,1224,0.4766355140186916
Elbasan,Librazhd,Orenje,1170,484,78,162,3493,1732,1894,0.5422273117663899
Elbasan,Librazhd,Polis,1211,475,82,108,3936,1768,1876,0.4766260162601626
Elbasan,Librazhd,Qender-Librazhd,2509,1324,371,379,8411,4204,4583,0.5448817025323981
Elbasan,Librazhd,Stebleve,193,193,6,26,828,392,418,0.5048309178743962
Elbasan,Peqin,Gjocaj,1094,1128,77,192,5745,2299,2491,0.4335944299390775
Elbasan,Peqin,Karine,452,260,10,32,1492,722,754,0.5053619302949062
Elbasan,Peqin,Pajove,1642,1251,72,180,7042,2965,3145,0.44660607781880146
Elbasan,Peqin,Peqin,1790,1413,200,163,7212,3403,3566,0.4944536882972823
Elbasan,Peqin,Perparim,857,741,125,67,4305,1723,1790,0.41579558652729387
Elbasan,Peqin,Sheze,868,604,31,67,4386,1503,1570,0.35795713634290927
Elbasan,Prrenjas,Prrenjas,1723,983,645,205,6912,3351,3556,0.5144675925925926
Elbasan,Prrenjas,Qukes,2225,1369,415,233,7963,4009,4242,0.5327138013311566
Elbasan,Prrenjas,Rajce,2134,1073,881,293,8219,4088,4381,0.5330332157196739
Elbasan,Prrenjas,Stravaj,662,424,49,85,2075,1135,1220,0.5879518072289157
Fier,Divjake,Divjake,2363,2298,543,368,11531,5204,5572,0.48321914838262076
Fier,Divjake,Grabian,1025,863,129,152,4922,2017,2169,0.4406745225518082
Fier,Divjake,Gradisht,2496,1374,411,234,8691,4281,4515,0.5195029340697273
Fier,Divjake,Remas,1192,1026,211,143,5203,2429,2572,0.49433019411877765
Fier,Divjake,Terbuf,2638,1876,446,374,12607,4960,5334,0.42309827873403666
Fier,Fier,Cakran,3123,2290,487,321,12759,5900,6221,0.48757739634767616
Fier,Fier,Frakull,2132,1299,337,222,8331,3768,3990,0.4789341015484336
Fier,Fier,Levan,2350,1705,482,315,14046,4537,4852,0.3454364231809768
Fier,Fier,Portez,2186,1328,457,215,9129,3971,4186,0.4585387227516705
Fier,Fier,Dermenas,1929,1764,513,227,10216,4206,4433,0.43392717306186374
