District,PS,PD,Other Parties,Invalid Ballots,Eligible Voters,Total Eligible Votes,meanVotes,medianVotes,Total Votes,Turnout,pPS,pPD,pOP,pInvalid,pTurnout
Berat,42355,23038,10244,5292,183119,75637,3237.16,2117,80929,0.44194758599599165,0.5599772598067083,0.3045863796819017,0.13543636051138994,0.06996575749963642,0.44194758599599165
Diber,28742,29020,6535,4686,131225,64297,1970.942857142857,1298,68983,0.5256848923604496,0.4470193010560368,0.4513429864534893,0.10163771249047389,0.07288053874986392,0.5256848923604496
Durres,76924,63431,12708,7808,358730,153063,10054.4375,5414.5,160871,0.448445906391994,0.5025643035874117,0.4144110594983765,0.08302463691421179,0.05101167493123746,0.448445906391994
Elbasan,86224,57878,12056,9771,346948,156158,3318.58,1945.5,165929,0.478253225267187,0.5521587110490657,0.37063743131956095,0.07720385763137336,0.06257124194725855,0.478253225267187
Fier,91572,64680,17273,9375,403288,173525,4354.761904761905,3406.5,182900,0.4535220487591994,0.5277164673678144,0.3727416798732171,0.09954185275896844,0.05402679729145656,0.4535220487591994
Gjirokaster,24604,14004,7080,2317,123270,45688,1500.15625,1025,48005,0.3894297071469133,0.5385221502363859,0.3065137454036071,0.15496410436000702,0.0507135352827876,0.3894297071469133
Korce,60543,50479,12790,7375,284363,123812,3545.5945945945946,2387,131187,0.4613363904586743,0.4889913740186735,0.40770684586308276,0.10330178011824379,0.05956611636998029,0.4613363904586743
Kukes,13856,24071,729,2188,83027,38656,1512.7407407407406,929,40844,0.4919363580521999,0.35844370860927155,0.6226976407284768,0.018858650662251654,0.05660182119205298,0.4919363580521999
Lezhe,27269,33996,10437,4946,173899,71702,3649.904761904762,2672,76648,0.4407615914985135,0.38031017265906114,0.4741290340576274,0.14556079328331148,0.06897994477141502,0.4407615914985135
Shkoder,30296,47205,30280,6114,272078,107781,3451.3636363636365,1923,113895,0.4186115746219834,0.2810885035395849,0.43797144209090655,0.28094005436950853,0.05672613911542851,0.4186115746219834
Tirane,226842,182335,56889,18422,910494,466066,12422.76923076923,5246,484488,0.5321155328865429,0.4867164736324898,0.39122141499272634,0.12206211137478383,0.03952659065454249,0.5321155328865429
Vlore,59023,32128,10772,4730,318428,101923,4102.038461538462,1752.5,106653,0.3349359980906202,0.5790940219577524,0.3152183511081895,0.10568762693405806,0.04640758219440166,0.3349359980906202
