Municipality,PS,PD,Other Parties,Invalid Ballots,Eligible Voters,Total Eligible Votes,Total Votes,Turnout,pPS,pPD,pOP,pInvalid,pTurnout
Belsh,5552,3946,392,692,25613,9890,10582,0.4131495724827236,0.5613751263902932,0.39898887765419616,0.039635995955510615,0.06996966632962588,0.4131495724827236
Berat,18302,10867,3755,2198,80345,32924,35122,0.43713983446387455,0.5558862835621431,0.3300631757988094,0.1140505406390475,0.06675981047260357,0.43713983446387455
Bulqize,6423,5378,2245,1362,29585,14046,15408,0.5208044617204665,0.45728321230243485,0.3828848070625089,0.15983198063505624,0.09696710807347288,0.5208044617204665
Cerrik,8347,4227,1552,847,37207,14126,14973,0.4024242750020158,0.5908962197366558,0.2992354523573552,0.10986832790598895,0.0599603567888999,0.4024242750020158
Delvine,2599,1694,666,320,14844,4959,5279,0.35563190514686066,0.5240976003226457,0.3416011292599314,0.13430127041742287,0.06452913893930227,0.35563190514686066
Devoll,7425,7619,1493,689,33641,16537,17226,0.5120537439434024,0.4489931668379996,0.4607244361129588,0.09028239704904155,0.041664147064159156,0.5120537439434024
Diber,11459,13747,2845,1814,56622,28051,29865,0.5274451626576242,0.40850593561726856,0.4900716551994581,0.10142240918327332,0.06466792627713806,0.5274451626576242
Divjake,9714,7437,1740,1271,42954,18891,20162,0.4693858546351911,0.5142131173574718,0.39367952993488964,0.09210735270763856,0.06728071568471759,0.4693858546351911
Dropull,1506,604,659,183,19960,2769,2952,0.14789579158316632,0.5438786565547129,0.21812928855182376,0.23799205489346334,0.06608884073672806,0.14789579158316632
Durres,52309,43506,8527,5107,258633,104342,109449,0.4231826565055503,0.5013225738437063,0.4169557800310517,0.08172164612524199,0.04894481608556478,0.4231826565055503
Elbasan,40809,31295,5140,4648,168679,77244,81892,0.48549019142869,0.528312878670188,0.40514473616073743,0.06654238516907462,0.06017295841748226,0.48549019142869
Fier,36638,24594,7652,3227,165045,68884,72111,0.43691720439880033,0.5318796817838686,0.3570350153881888,0.11108530282794263,0.0468468730038906,0.43691720439880033
Finiq,2208,1422,345,278,30876,3975,4253,0.13774452649306906,0.5554716981132075,0.35773584905660377,0.08679245283018867,0.069937106918239,0.13774452649306906
Fushe Arrez,1379,1632,981,258,8686,3992,4250,0.4892931153580474,0.34544088176352705,0.4088176352705411,0.24574148296593187,0.06462925851703406,0.4892931153580474
Gjirokaster,9767,6536,2623,712,43194,18926,19638,0.4546464786775941,0.5160625594420374,0.3453450280038043,0.1385924125541583,0.03762020500898235,0.4546464786775941
Gramsh,8117,3983,1238,824,27030,13338,14162,0.5239363669996301,0.6085620032988454,0.29862048283100917,0.09281751387014545,0.061778377567851255,0.5239363669996301
Has,2671,4776,81,488,16128,7528,8016,0.49702380952380953,0.3548087141339001,0.6344314558979809,0.010759829968119023,0.06482465462274177,0.49702380952380953
