District,Municipality,AdministrativeUnit,PollingStation,pTurnout,pPS,PS
Berat,Bashkia Berat,Berat,P-32701,0.3872053872053872,0.6244541484716157,143
Berat,Bashkia Berat,Berat,P-32741,0.4833887043189369,0.6102941176470589,166
Berat,Bashkia Berat,Berat,P-32801,0.33127572016460904,0.6308724832214765,94
Berat,Bashkia Berat,Berat,P-3285,0.42216687422166876,0.6455696202531646,204
Berat,Bashkia Berat,Berat,P-3286,0.3642052565707134,0.6605839416058394,181
Berat,Bashkia Berat,Berat,P-32881,0.4627659574468085,0.6626016260162602,163
Berat,Bashkia Berat,Berat,P-3290,0.3898809523809524,0.6016260162601627,148
Berat,Bashkia Berat,Berat,P-3292,0.5030674846625767,0.5844155844155844,135
Berat,Bashkia Berat,Berat,P-3294,0.4808454425363276,0.6096866096866097,214
Berat,Bashkia Berat,Berat,P-32951,0.45193929173693087,0.6178861788617886,152
Berat,Bashkia Berat,Berat,P-32971,0.5251677852348994,0.5785714285714286,162
Berat,Bashkia Berat,Berat,P-3298,0.5153256704980843,0.5891472868217055,152
Berat,Bashkia Berat,Berat,P-33131,0.36044657097288674,0.6095238095238096,128
Berat,Bashkia Berat,Berat,P-33132,0.46554621848739497,0.6060606060606061,160
Berat,Bashkia Berat,Otllak,P-3429,0.5144827586206897,0.603399433427762,213
Berat,Bashkia Berat,Otllak,P-34291,0.5356371490280778,0.6578947368421053,150
Berat,Bashkia Berat,Otllak,P-3430,0.4598459845984598,0.6246719160104987,238
Berat,Bashkia Berat,Otllak,P-3431,0.4728079911209767,0.6683417085427136,266
Berat,Bashkia Berat,Roshnik,P-3443,0.5581039755351682,0.5813253012048193,193
Berat,Bashkia Berat,Roshnik,P-3445,0.43370165745856354,0.7464285714285714,209
Berat,Bashkia Berat,Roshnik,P-3446,0.4139240506329114,0.6816720257234726,212
Berat,Bashkia Berat,Roshnik,P-3451,0.4673913043478261,0.6601307189542484,101
Berat,Bashkia Berat,Sinje,P-3350,0.5724852071005917,0.5527065527065527,194
Berat,Bashkia Berat,Sinje,P-3351,0.3708133971291866,0.7133333333333334,107
Berat,Bashkia Berat,Sinje,P-3355,0.4665012406947891,0.6709677419354839,104
Berat,Bashkia Berat,Sinje,P-3360,0.5187376725838264,0.7125506072874493,176
Berat,Bashkia Berat,Velabisht,P-3322,0.5102639296187683,0.5758513931888545,186
Berat,Bashkia Berat,Velabisht,P-3324,0.5277777777777778,0.6501182033096927,275
Berat,Bashkia Berat,Velabisht,P-3326,0.4567901234567901,0.6266094420600858,146
Berat,Bashkia Berat,Velabisht,P-3328,0.5011467889908257,0.6676384839650146,229
Berat,Bashkia Kucove,Kozare,P-3497,0.5151515151515151,0.6136363636363636,243
Berat,Bashkia Kucove,Kucove,P-35151,0.31905781584582443,0.7028985507246377,97
Berat,Bashkia Kucove,Kucove,P-3518,0.34983498349834985,0.6699507389162561,136
Berat,Bashkia Kucove,Kucove,P-35181,0.37915742793791574,0.6287425149700598,105
Berat,Bashkia Kucove,Kucove,P-35191,0.3786279683377309,0.6568265682656826,178
Berat,Bashkia Kucove,Kucove,P-3524,0.3517730496453901,0.620253164556962,147
Berat,Bashkia Kucove,Kucove,P-35241,0.36678832116788324,0.7172774869109948,137
Berat,Bashkia Kucove,Kucove,P-35252,0.30510585305105853,0.631578947368421,144
Berat,Bashkia Kucove,Kucove,P-35253,0.3449612403100775,0.631578947368421,156
Berat,Bashkia Kucove,Kucove,P-35261,0.41025641025641024,0.625,130
Berat,Bashkia Kucove,Kucove,P-35271,0.3295819935691318,0.6153846153846154,120
Berat,Bashkia Kucove,Kucove,P-3530,0.33551769331585846,0.6341463414634146,156
Berat,Bashkia Kucove,Kucove,P-35311,0.3890784982935154,0.6359447004608295,138
Berat,Bashkia Kucove,Lumas,P-3416,0.5162200282087447,0.6253602305475504,217
Berat,Bashkia Kucove,Lumas,P-3417,0.39708265802269044,0.7413793103448276,172
Berat,Bashkia Kucove,Lumas,P-3422,0.35702479338842974,0.6428571428571429,126
Berat,Bashkia Kucove,Lumas,P-3423,0.32086614173228345,0.6891891891891891,102
Berat,Bashkia Kucove,Perondi,P-3505,0.5802728226652676,0.5749063670411985,307
Berat,Bashkia Kucove,Perondi,P-3510,0.43824228028503565,0.6605504587155964,216
Berat,Bashkia Kucove,Perondi,P-3511,0.47527910685805425,0.6452830188679245,171
Berat,Bashkia Polican,Polican,P-3576,0.45774647887323944,0.7032967032967034,128
Berat,Bashkia Polican,Polican,P-3577,0.41890315052508753,0.6260869565217392,216
Berat,Bashkia Polican,Polican,P-3578,0.4870848708487085,0.644,161
Berat,Bashkia Polican,Polican,P-35781,0.46396396396396394,0.6494845360824743,126
Berat,Bashkia Polican,Polican,P-3579,0.44876325088339225,0.6477732793522267,160
Berat,Bashkia Polican,Polican,P-35791,0.5130434782608696,0.7031963470319634,154
Berat,Bashkia Polican,Polican,P-3580,0.40816326530612246,0.6350877192982456,181
Berat,Bashkia Polican,Polican,P-35801,0.51183970856102,0.6254681647940075,167
Berat,Bashkia Polican,Polican,P-35811,0.488245931283906,0.6470588235294118,165
Berat,Bashkia Polican,Terpan,P-3368,0.42290076335877863,0.7015503875968992,181
Berat,Bashkia Polican,Terpan,P-3371,0.4895591647331787,0.6731707317073171,138
Berat,Bashkia Polican,Vertop,P-3456,0.3617021276595745,0.6835443037974683,216
Berat,Bashkia Polican,Vertop,P-3457,0.5325131810193322,0.6135593220338983,181
Berat,Bashkia Polican,Vertop,P-3461,0.5499254843517138,0.6976744186046512,240
Berat,Bashkia Polican,Vertop,P-3462,0.5504032258064516,0.671875,172
Berat,Bashkia Polican,Vertop,P-3463,0.5177228786251342,0.6534216335540839,296
Berat,Bashkia Polican,Vertop,P-3465,0.49414519906323184,0.7216494845360825,140
Berat,Bashkia Polican,Vertop,P-3466,0.4885057471264368,0.6858974358974359,107
Berat,Bashkia Skrapar,corovode,P-3554,0.5604626708727655,0.5736738703339882,292
Berat,Bashkia Skrapar,corovode,P-3555,0.603085553997195,0.5511221945137157,221
Berat,Bashkia Skrapar,Gjerbes,P-3559,0.4778761061946903,0.6118421052631579,93
Berat,Bashkia Skrapar,Leshnje,P-3571,0.5794573643410853,0.5972222222222222,172
Berat,Bashkia Skrapar,Qender - Skrapar,P-3595,0.510989010989011,0.6150793650793651,155
Berat,Bashkia Skrapar,Qender - Skrapar,P-3604,0.5723981900452488,0.5281385281385281,122
Berat,Bashkia Skrapar,Vendreshe,P-3616,0.5706051873198847,0.49732620320855614,93
Berat,Bashkia Ura Vajgurore,Kutalli,P-3339,0.3985611510791367,0.7170542635658915,185
Berat,Bashkia Ura Vajgurore,Kutalli,P-33441,0.6189473684210526,0.5613382899628253,151
Berat,Bashkia Ura Vajgurore,Kutalli,P-3345,0.590027700831025,0.4713216957605985,189
Berat,Bashkia Ura Vajgurore,Kutalli,P-33451,0.5852156057494866,0.4827586206896552,126
Berat,Bashkia Ura Vajgurore,Kutalli,P-3346,0.5222672064777328,0.660056657223796,233
Berat,Bashkia Ura Vajgurore,Kutalli,P-33461,0.5845410628019324,0.6650485436893204,137
Berat,Bashkia Ura Vajgurore,Kutalli,P-3348,0.378698224852071,0.6612021857923497,121
Berat,Bashkia Ura Vajgurore,Kutalli,P-3349,0.45569620253164556,0.6080402010050251,242
Berat,Bashkia Ura Vajgurore,Poshnje,P-34681,0.5017182130584192,0.6666666666666666,174
Berat,Bashkia Ura Vajgurore,Poshnje,P-3470,0.5202312138728323,0.5822784810126582,184
Berat,Bashkia Ura Vajgurore,Poshnje,P-3472,0.45758354755784064,0.6706586826347305,112
Berat,Bashkia Ura Vajgurore,Poshnje,P-3478,0.5330347144456887,0.5898617511520737,256
Berat,Bashkia Ura Vajgurore,Ura Vajgurore,P-3482,0.44662921348314605,0.6027397260273972,176
Berat,Bashkia Ura Vajgurore,Ura Vajgurore,P-34821,0.3941267387944359,0.6554621848739496,156
Berat,Bashkia Ura Vajgurore,Ura Vajgurore,P-34841,0.42962962962962964,0.7110091743119266,155
Berat,Bashkia Ura Vajgurore,Ura Vajgurore,P-3485,0.4557926829268293,0.7043795620437956,193
Berat,Bashkia Ura Vajgurore,Ura Vajgurore,P-34851,0.4507042253521127,0.6666666666666666,154
Berat,Bashkia Ura Vajgurore,Ura Vajgurore,P-3486,0.4752981260647359,0.65234375,167
Berat,Bashkia Ura Vajgurore,Ura Vajgurore,P-34861,0.4079861111111111,0.6136363636363636,135
Berat,Bashkia Ura Vajgurore,Ura Vajgurore,P-34871,0.3825966850828729,0.6150793650793651,155
Berat,Bashkia Ura Vajgurore,Ura Vajgurore,P-3491,0.44533947065592633,0.625,215
Diber,Bashkia Bulqize,Martanesh,P-0968,0.43610547667342797,0.6040609137055838,119
Diber,Bashkia Bulqize,Martanesh,P-0969,0.5025380710659898,0.5837837837837838,108
Diber,Bashkia Bulqize,Martanesh,P-0975,0.46551724137931033,0.6045197740112994,107
Diber,Bashkia Bulqize,Ostren,P-1057,0.41687344913151364,0.6688311688311688,103
Diber,Bashkia Bulqize,Shupenze,P-1065,0.5929339477726574,0.603399433427762,213
Diber,Bashkia Bulqize,Trebisht,P-1080,0.5310880829015544,0.6574307304785895,261
Diber,Bashkia Diber,Arras,P-1167,0.5739299610894941,0.49140893470790376,143
Diber,Bashkia Diber,Arras,P-1172,0.44224422442244227,0.6451612903225806,80
Diber,Bashkia Diber,Fushe Muhur,P-1214,0.5841121495327103,0.4896265560165975,118
Diber,Bashkia Diber,Kastriot,P-1195,0.5906040268456376,0.49101796407185627,164
Diber,Bashkia Diber,Kastriot,P-1199,0.5798816568047337,0.5056818181818182,89
Diber,Bashkia Diber,Maqellare,P-1100,0.5079559363525091,0.5914786967418546,236
Diber,Bashkia Diber,Maqellare,P-1107,0.5769230769230769,0.5510204081632653,108
Diber,Bashkia Diber,Melan,P-1126,0.5718562874251497,0.48295454545454547,85
Diber,Bashkia Diber,Melan,P-1129,0.5756302521008403,0.47214854111405835,178
Diber,Bashkia Diber,Peshkopi,P-11361,0.5725190839694656,0.48484848484848486,176
Diber,Bashkia Diber,Sllove,P-1222,0.5879120879120879,0.5431472081218274,107
Diber,Bashkia Diber,Tomin,P-1148,0.5722433460076045,0.5362318840579711,148
Diber,Bashkia Diber,Tomin,P-1154,0.5943396226415094,0.47953216374269003,82
Diber,Bashkia Klos,Gurre,P-0942,0.5893648449039882,0.5294117647058824,198
Diber,Bashkia Klos,Klos (DI),P-0994,0.5798816568047337,0.5645161290322581,210
Diber,Bashkia Klos,Klos (DI),P-09981,0.5931372549019608,0.515695067264574,115
Diber,Bashkia Klos,Klos (DI),P-1002,0.6,0.48095238095238096,101
Diber,Bashkia Klos,Suc,P-1027,0.582716049382716,0.53125,238
Diber,Bashkia Klos,Xiber,P-0962,0.5772811918063314,0.5785953177257525,173
Diber,Bashkia Mat,Burrel,P-0928,0.5275397796817626,0.5759803921568627,235
Diber,Bashkia Mat,Burrel,P-0929,0.48514851485148514,0.6121212121212121,202
Diber,Bashkia Mat,Burrel,P-09291,0.5528089887640449,0.6666666666666666,156
Diber,Bashkia Mat,Burrel,P-0931,0.4581005586592179,0.6177215189873417,244
Diber,Bashkia Mat,Burrel,P-09331,0.6,0.5412186379928315,151
Diber,Bashkia Mat,Lis,P-1005,0.5737265415549598,0.558974358974359,109
Diber,Bashkia Mat,Lis,P-1009,0.4903677758318739,0.7065637065637066,183
Diber,Bashkia Mat,Lis,P-10091,0.49649122807017543,0.6777777777777778,183
Durres,Bashkia Durres,Durres,P-14083,0.36666666666666664,0.6194029850746269,166
Durres,Bashkia Durres,Durres,P-14122,0.41318977119784656,0.62751677852349,187
Durres,Bashkia Durres,Durres,P-14123,0.4375,0.6337579617834395,199
Durres,Bashkia Durres,Durres,P-14152,0.5019973368841545,0.601123595505618,214
Durres,Bashkia Durres,Durres,P-14161,0.4460839954597049,0.6058981233243967,226
Durres,Bashkia Durres,Durres,P-1423,0.46496815286624205,0.6085714285714285,213
Durres,Bashkia Durres,Durres,P-1425,0.5948717948717949,0.6085972850678733,269
Durres,Bashkia Durres,Durres,P-14282,0.3831672203765227,0.65,208
Durres,Bashkia Durres,Durres,P-14292,0.4327044025157233,0.6666666666666666,218
Durres,Bashkia Durres,Durres,P-1430,0.4357405140758874,0.6126126126126126,204
Durres,Bashkia Durres,Durres,P-14322,0.4665809768637532,0.6022727272727273,212
Durres,Bashkia Durres,Durres,P-14371,0.3550973654066438,0.6312292358803987,190
Durres,Bashkia Durres,Durres,P-1438,0.32857142857142857,0.6060606060606061,120
Durres,Bashkia Durres,Durres,P-1440,0.3734249713631157,0.6246056782334385,198
Durres,Bashkia Durres,Durres,P-14401,0.38408304498269896,0.6018808777429467,192
Durres,Bashkia Durres,Durres,P-14492,0.4020771513353116,0.6007604562737643,158
Durres,Bashkia Durres,Durres,P-1451,0.4735042735042735,0.6283524904214559,164
Durres,Bashkia Durres,Durres,P-14701,0.3795698924731183,0.6371681415929203,216
Durres,Bashkia Durres,Durres,P-14702,0.3961038961038961,0.6235955056179775,222
Durres,Bashkia Durres,Durres,P-14704,0.3624733475479744,0.6139817629179332,202
Durres,Bashkia Durres,Durres,P-14751,0.363481228668942,0.6341463414634146,130
Durres,Bashkia Durres,Durres,P-14831,0.36874051593323215,0.6068376068376068,142
Durres,Bashkia Durres,Durres,P-14832,0.4084033613445378,0.7046413502109705,167
Durres,Bashkia Durres,Durres,P-14841,0.32488822652757077,0.6359223300970874,131
Durres,Bashkia Durres,Durres,P-14851,0.321880650994575,0.6149425287356322,107
Durres,Bashkia Durres,Durres,P-14881,0.35094339622641507,0.6444444444444445,116
Durres,Bashkia Durres,Durres,P-14931,0.3578088578088578,0.6013986013986014,172
Durres,Bashkia Durres,Durres,P-1495,0.4787701317715959,0.6269592476489029,200
Durres,Bashkia Durres,Durres,P-14961,0.38809831824062097,0.6411149825783972,184
Durres,Bashkia Durres,Ishem,P-1327,0.3409090909090909,0.6069868995633187,139
Durres,Bashkia Durres,Ishem,P-1329,0.391156462585034,0.6026785714285714,135
Durres,Bashkia Durres,Ishem,P-13291,0.46551724137931033,0.6875,143
Durres,Bashkia Durres,Katund I ri,P-1528,0.37084870848708484,0.6032608695652174,111
Durres,Bashkia Durres,Manez,P-1344,0.36505190311418684,0.6040609137055838,119
Durres,Bashkia Durres,Manez,P-1345,0.44025157232704404,0.6971608832807571,221
Durres,Bashkia Durres,Manez,P-1352,0.4397283531409168,0.6135458167330677,154
