District,PS,PD,Others,InvalidBallots,RegisteredMen,RegisteredWomen,VotingWomen,VotingMen,UnaccountedBallots,pTurnout,pVotingWomen,pVotingMen
Berat,42355,23038,10244,5292,94041,89078,38677,42256,4,0.4419694297151033,0.4341925054446665,0.44933592794632127
Diber,28742,29020,6535,4686,68255,62970,33651,35482,150,0.5268279672318537,0.5343973320628871,0.5198447000219764
Durres,76924,63431,12692,7808,180304,178426,75661,85613,419,0.449569313968723,0.424046943831056,0.4748258496761026
Elbasan,86224,57878,12056,9775,177842,169106,80427,85621,115,0.4785962161476648,0.475601102267217,0.4814442032815645
Fier,91572,64680,17273,9375,207494,195794,87427,95479,6,0.45353692646446214,0.4465254297884511,0.4601530646669301
Gjirokaster,24604,14004,7080,2317,62235,61035,22720,25293,8,0.3894946053378762,0.37224543294830836,0.406411183417691
Korce,60543,50479,12790,7375,142736,141627,63158,68040,11,0.46137507340969114,0.44594604136216964,0.47668422822553524
Kukes,13856,24071,729,2188,42526,40501,19796,21098,50,0.4925385717898997,0.48877805486284287,0.496120020693223
Lezhe,27269,33996,10437,4946,88254,85645,36171,40478,1,0.4407673419628635,0.42233638858076944,0.4586534321390532
Shkoder,30296,47205,30280,6114,137726,134352,51805,62092,2,0.41861892545520035,0.385591580326307,0.450837169452391
Tirane,226842,182335,56881,18422,450603,459891,232827,251942,289,0.5324241565567703,0.5062656151131464,0.559121887781484
Vlore,59023,32128,10772,4730,160101,157703,49942,56722,11,0.3356282488577866,0.3166838931409041,0.35428885516018016
